trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000174358_IRNT_RBC,8.30802,0,ENSG00000174358,IRNT_RBC
ENSG00000174576_IRNT_height,18.4852,0,ENSG00000174576,IRNT_height
ENSG00000174807_IRNT_height,9.9044,0,ENSG00000174807,IRNT_height
ENSG00000175318_IRNT_height,30.6687,0,ENSG00000175318,IRNT_height
ENSG00000175445_IRNT_TG,47.1222,1,ENSG00000175445,IRNT_TG
ENSG00000175634_IRNT_height,7.17712,0,ENSG00000175634,IRNT_height
ENSG00000176387_IRNT_height,11.2419,0,ENSG00000176387,IRNT_height
ENSG00000176907_IRNT_RBC,9.48613,0,ENSG00000176907,IRNT_RBC
ENSG00000176971_IRNT_height,16.0163,0,ENSG00000176971,IRNT_height
ENSG00000177191_IRNT_height,9.16208,0,ENSG00000177191,IRNT_height
ENSG00000177706_ZBMD,7.40553,0,ENSG00000177706,ZBMD
ENSG00000178175_IRNT_height,10.5308,0,ENSG00000178175,IRNT_height
ENSG00000178252_IRNT_height,19.6042,0,ENSG00000178252,IRNT_height
ENSG00000178691_IRNT_height,9.86497,0,ENSG00000178691,IRNT_height
ENSG00000178997_IRNT_height,14.5747,0,ENSG00000178997,IRNT_height
ENSG00000179295_IRNT_height,10.5207,1,ENSG00000179295,IRNT_height
ENSG00000180061_IRNT_height,13.5165,0,ENSG00000180061,IRNT_height
ENSG00000180875_ZBMD,12.4608,0,ENSG00000180875,ZBMD
ENSG00000181378_IRNT_TG,10.0324,0,ENSG00000181378,IRNT_TG
ENSG00000181754_IRNT_LDL,8.75251,0,ENSG00000181754,IRNT_LDL
ENSG00000182179_IRNT_height,10.6477,0,ENSG00000182179,IRNT_height
ENSG00000182218_IRNT_height,8.4427,0,ENSG00000182218,IRNT_height
