trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000148584_IRNT_LDL,10.333,0,ENSG00000148584,IRNT_LDL
ENSG00000148584_IRNT_TG,28.9735,0,ENSG00000148584,IRNT_TG
ENSG00000149177_IRNT_height,7.11432,0,ENSG00000149177,IRNT_height
ENSG00000149257_IRNT_height,19.8345,0,ENSG00000149257,IRNT_height
ENSG00000149311_Breast_cancer,12.1382,1,ENSG00000149311,Breast_cancer
ENSG00000149311_Cancer_of_prostate,7.37875,1,ENSG00000149311,Cancer_of_prostate
ENSG00000149948_IRNT_height,12.2384,0,ENSG00000149948,IRNT_height
ENSG00000152254_IRNT_glu,171.427,1,ENSG00000152254,IRNT_glu
ENSG00000152270_IRNT_height,19.4605,0,ENSG00000152270,IRNT_height
ENSG00000152270_IRNT_RBC,6.93293,0,ENSG00000152270,IRNT_RBC
ENSG00000152270_IRNT_TG,63.151,0,ENSG00000152270,IRNT_TG
ENSG00000152270_IRNT_WHR,10.171,0,ENSG00000152270,IRNT_WHR
ENSG00000152595_ZBMD,62.9819,0,ENSG00000152595,ZBMD
ENSG00000153162_IRNT_height,14.9016,0,ENSG00000153162,IRNT_height
ENSG00000155657_Atrial_fibrillation,31.2186,1,ENSG00000155657,Atrial_fibrillation
ENSG00000155657_IRNT_height,9.04669,0,ENSG00000155657,IRNT_height
ENSG00000155657_IRNT_SBP,11.4457,0,ENSG00000155657,IRNT_SBP
ENSG00000156140_IRNT_height,21.1745,0,ENSG00000156140,IRNT_height
ENSG00000156535_ZBMD,11.2429,0,ENSG00000156535,ZBMD
ENSG00000157766_IRNT_height,54.6063,0,ENSG00000157766,IRNT_height
ENSG00000158019_IRNT_TG,11.3963,0,ENSG00000158019,IRNT_TG
ENSG00000158158_IRNT_Ca,15.2383,0,ENSG00000158158,IRNT_Ca
ENSG00000159184_Cancer_of_prostate,36.716,1,ENSG00000159184,Cancer_of_prostate
ENSG00000159899_IRNT_height,53.3589,1,ENSG00000159899,IRNT_height
