trait_gene_pairs,LOG10P,in_positive_control_set,gene_id,Traits
ENSG00000147854_IRNT_height,8.50594,0,ENSG00000147854,IRNT_height
ENSG00000149177_IRNT_height,8.58231,0,ENSG00000149177,IRNT_height
ENSG00000149257_IRNT_height,18.2922,0,ENSG00000149257,IRNT_height
ENSG00000149311_Breast_cancer,10.1447,1,ENSG00000149311,Breast_cancer
ENSG00000149948_IRNT_height,14.3368,0,ENSG00000149948,IRNT_height
ENSG00000151468_IRNT_height,8.35011,0,ENSG00000151468,IRNT_height
ENSG00000152242_IRNT_height,7.01259,0,ENSG00000152242,IRNT_height
ENSG00000152254_IRNT_glu,68.2856,1,ENSG00000152254,IRNT_glu
ENSG00000152270_IRNT_height,18.6304,0,ENSG00000152270,IRNT_height
ENSG00000152270_IRNT_TG,22.3041,0,ENSG00000152270,IRNT_TG
ENSG00000152595_ZBMD,65.977,0,ENSG00000152595,ZBMD
ENSG00000153162_IRNT_height,13.9804,0,ENSG00000153162,IRNT_height
ENSG00000154309_IRNT_height,8.92722,0,ENSG00000154309,IRNT_height
ENSG00000156140_IRNT_height,20.8316,0,ENSG00000156140,IRNT_height
ENSG00000156535_ZBMD,20.273,0,ENSG00000156535,ZBMD
ENSG00000157766_IRNT_height,22.1929,0,ENSG00000157766,IRNT_height
ENSG00000158158_IRNT_Ca,14.8407,0,ENSG00000158158,IRNT_Ca
ENSG00000159069_ZBMD,12.9609,0,ENSG00000159069,ZBMD
ENSG00000159184_Cancer_of_prostate,36.7571,1,ENSG00000159184,Cancer_of_prostate
ENSG00000159202_IRNT_height,7.65082,0,ENSG00000159202,IRNT_height
ENSG00000159899_IRNT_height,80.5609,1,ENSG00000159899,IRNT_height
ENSG00000160111_Cataract,7.04323,0,ENSG00000160111,Cataract
ENSG00000161547_IRNT_RBC,8.2043,0,ENSG00000161547,IRNT_RBC
ENSG00000162063_IRNT_RBC,6.97722,0,ENSG00000162063,IRNT_RBC
ENSG00000162337_ZBMD,33.2508,1,ENSG00000162337,ZBMD
ENSG00000162551_IRNT_Ca,14.2821,0,ENSG00000162551,IRNT_Ca
ENSG00000162551_ZBMD,13.125,1,ENSG00000162551,ZBMD
ENSG00000162733_IRNT_height,19.6338,0,ENSG00000162733,IRNT_height
ENSG00000162998_IRNT_height,7.69187,0,ENSG00000162998,IRNT_height
