"trait_gene_pairs","LOG10P","in_positive_control_set","gene_id","Traits"
"ENSG00000159184_Cancer_of_prostate",36.7571,1,"ENSG00000159184","Cancer of prostate"
"ENSG00000159202_IRNT_height",7.65082,0,"ENSG00000159202","height"
"ENSG00000159899_IRNT_height",80.5609,1,"ENSG00000159899","height"
"ENSG00000160111_Cataract",7.04323,0,"ENSG00000160111","Cataract"
"ENSG00000161547_IRNT_RBC",8.2043,0,"ENSG00000161547","rbc"
"ENSG00000162063_IRNT_RBC",6.97722,0,"ENSG00000162063","rbc"
"ENSG00000162337_ZBMD",33.2508,1,"ENSG00000162337","ebmd"
"ENSG00000162551_IRNT_Ca",14.2821,0,"ENSG00000162551","calcium"
"ENSG00000162551_ZBMD",13.125,1,"ENSG00000162551","ebmd"
"ENSG00000162733_IRNT_height",19.6338,0,"ENSG00000162733","height"
"ENSG00000162998_IRNT_height",7.69187,0,"ENSG00000162998","height"
"ENSG00000163050_IRNT_RBC",10.0852,0,"ENSG00000163050","rbc"
"ENSG00000163273_IRNT_height",7.63705,0,"ENSG00000163273","height"
"ENSG00000163501_IRNT_height",27.9372,0,"ENSG00000163501","height"
"ENSG00000163554_IRNT_biliru",12.2679,0,"ENSG00000163554","dbilirubin"
"ENSG00000163631_IRNT_biliru",9.32859,0,"ENSG00000163631","dbilirubin"
"ENSG00000163631_IRNT_Ca",43.2226,0,"ENSG00000163631","calcium"
"ENSG00000163631_IRNT_RBC",7.04019,0,"ENSG00000163631","rbc"
"ENSG00000163754_IRNT_height",15.9807,0,"ENSG00000163754","height"
"ENSG00000164062_IRNT_RBC",10.7144,0,"ENSG00000164062","rbc"
"ENSG00000164151_IRNT_height",7.32022,0,"ENSG00000164151","height"
"ENSG00000164362_IRNT_RBC",9.6764,0,"ENSG00000164362","rbc"
"ENSG00000164949_IRNT_SBP",8.74862,0,"ENSG00000164949","sbp"
"ENSG00000165029_IRNT_LDL",10.7474,1,"ENSG00000165029","ldl"
"ENSG00000165806_Cataract",17.828,0,"ENSG00000165806","Cataract"
"ENSG00000166033_IRNT_height",9.72264,0,"ENSG00000166033","height"
"ENSG00000166035_IRNT_TG",14.6498,0,"ENSG00000166035","tg"
"ENSG00000166147_IRNT_height",11.9611,1,"ENSG00000166147","height"
"ENSG00000166509_IRNT_height",27.4858,0,"ENSG00000166509","height"
"ENSG00000166603_IRNT_BMI",33.5218,1,"ENSG00000166603","BMI"
"ENSG00000166603_IRNT_WHR",9.33197,1,"ENSG00000166603","WHR"
"ENSG00000166801_IRNT_height",12.4425,0,"ENSG00000166801","height"
"ENSG00000166819_IRNT_TG",19.0241,0,"ENSG00000166819","tg"
"ENSG00000166819_IRNT_WHR",11.3212,0,"ENSG00000166819","WHR"
"ENSG00000167165_IRNT_biliru",42.6868,0,"ENSG00000167165","dbilirubin"
"ENSG00000167202_IRNT_Ca",7.3753,0,"ENSG00000167202","calcium"
"ENSG00000167325_IRNT_RBC",9.31923,1,"ENSG00000167325","rbc"
"ENSG00000167395_IRNT_height",9.93339,0,"ENSG00000167395","height"
"ENSG00000167395_IRNT_SBP",9.50034,0,"ENSG00000167395","sbp"
"ENSG00000167601_IRNT_height",8.47319,0,"ENSG00000167601","height"
"ENSG00000167676_IRNT_WHR",8.42336,0,"ENSG00000167676","WHR"
"ENSG00000167676_ZBMD",9.20503,0,"ENSG00000167676","ebmd"
"ENSG00000167772_IRNT_TG",24.184,0,"ENSG00000167772","tg"
"ENSG00000167930_IRNT_glu",9.21754,0,"ENSG00000167930","glucose"
"ENSG00000168016_IRNT_height",7.22931,0,"ENSG00000168016","height"
"ENSG00000168159_IRNT_height",7.80687,0,"ENSG00000168159","height"
"ENSG00000168763_IRNT_height",15.5255,0,"ENSG00000168763","height"
"ENSG00000169047_IRNT_height",14.4549,0,"ENSG00000169047","height"
