"trait_gene_pairs","LOG10P","in_positive_control_set","gene_id","Traits"
"ENSG00000146112_IRNT_RBC",13.5078,0,"ENSG00000146112","rbc"
"ENSG00000146122_ZBMD",7.59192,0,"ENSG00000146122","ebmd"
"ENSG00000146197_IRNT_height",13.8005,0,"ENSG00000146197","height"
"ENSG00000146373_IRNT_Ca",9.12761,0,"ENSG00000146373","calcium"
"ENSG00000146477_IRNT_LDL",13.396,0,"ENSG00000146477","ldl"
"ENSG00000146830_IRNT_RBC",14.5658,0,"ENSG00000146830","rbc"
"ENSG00000148584_IRNT_Ca",9.4607,0,"ENSG00000148584","calcium"
"ENSG00000148584_IRNT_LDL",10.3434,0,"ENSG00000148584","ldl"
"ENSG00000148584_IRNT_TG",28.4002,0,"ENSG00000148584","tg"
"ENSG00000149257_IRNT_height",16.5708,0,"ENSG00000149257","height"
"ENSG00000149311_Breast_cancer",8.30269,1,"ENSG00000149311","Breast cancer"
"ENSG00000149577_IRNT_TG",7.30485,0,"ENSG00000149577","tg"
"ENSG00000149782_IRNT_TG",8.05453,0,"ENSG00000149782","tg"
"ENSG00000149948_IRNT_height",7.5964,0,"ENSG00000149948","height"
"ENSG00000151422_IRNT_height",10.5987,0,"ENSG00000151422","height"
"ENSG00000152254_IRNT_glu",171.762,1,"ENSG00000152254","glucose"
"ENSG00000152270_IRNT_height",14.5433,0,"ENSG00000152270","height"
"ENSG00000152270_IRNT_TG",21.7444,0,"ENSG00000152270","tg"
"ENSG00000152556_IRNT_RBC",7.38407,0,"ENSG00000152556","rbc"
"ENSG00000152595_ZBMD",58.0416,0,"ENSG00000152595","ebmd"
"ENSG00000154122_IRNT_glu",15.8219,0,"ENSG00000154122","glucose"
"ENSG00000154122_T2D",13.0452,1,"ENSG00000154122","Diabetes mellitus"
"ENSG00000154309_IRNT_height",12.5317,0,"ENSG00000154309","height"
"ENSG00000156140_IRNT_height",15.3367,0,"ENSG00000156140","height"
"ENSG00000156535_ZBMD",8.03175,0,"ENSG00000156535","ebmd"
"ENSG00000156802_IRNT_height",18.1727,0,"ENSG00000156802","height"
"ENSG00000157613_IRNT_TG",6.97024,0,"ENSG00000157613","tg"
"ENSG00000157766_IRNT_height",11.477,0,"ENSG00000157766","height"
"ENSG00000158019_IRNT_TG",10.682,0,"ENSG00000158019","tg"
"ENSG00000158158_IRNT_Ca",11.2483,0,"ENSG00000158158","calcium"
"ENSG00000159069_ZBMD",23.0212,0,"ENSG00000159069","ebmd"
"ENSG00000159184_Cancer_of_prostate",36.7924,1,"ENSG00000159184","Cancer of prostate"
"ENSG00000159899_IRNT_height",55.1771,1,"ENSG00000159899","height"
"ENSG00000160801_IRNT_height",7.65703,0,"ENSG00000160801","height"
"ENSG00000162032_IRNT_height",14.4414,0,"ENSG00000162032","height"
"ENSG00000162337_ZBMD",91.5737,1,"ENSG00000162337","ebmd"
"ENSG00000162378_IRNT_height",7.62504,0,"ENSG00000162378","height"
"ENSG00000162430_IRNT_height",6.94542,0,"ENSG00000162430","height"
"ENSG00000162551_IRNT_Ca",16.1011,0,"ENSG00000162551","calcium"
"ENSG00000162551_ZBMD",15.9395,1,"ENSG00000162551","ebmd"
"ENSG00000162733_IRNT_height",17.0769,0,"ENSG00000162733","height"
"ENSG00000162804_IRNT_height",9.08869,0,"ENSG00000162804","height"
"ENSG00000163072_IRNT_height",6.92156,0,"ENSG00000163072","height"
"ENSG00000163093_IRNT_height",7.20536,0,"ENSG00000163093","height"
"ENSG00000163406_IRNT_Ca",7.06945,0,"ENSG00000163406","calcium"
"ENSG00000163501_IRNT_height",36.2436,0,"ENSG00000163501","height"
"ENSG00000163631_IRNT_biliru",9.08075,0,"ENSG00000163631","dbilirubin"
"ENSG00000163631_IRNT_Ca",33.3861,0,"ENSG00000163631","calcium"
"ENSG00000163754_IRNT_height",12.2098,0,"ENSG00000163754","height"
"ENSG00000163950_IRNT_height",7.55198,0,"ENSG00000163950","height"
"ENSG00000164062_IRNT_RBC",8.49724,0,"ENSG00000164062","rbc"
"ENSG00000164116_IRNT_DBP",7.16635,0,"ENSG00000164116","dbp"
"ENSG00000164362_IRNT_RBC",11.6988,0,"ENSG00000164362","rbc"
"ENSG00000164756_IRNT_glu",8.28264,1,"ENSG00000164756","glucose"
"ENSG00000164867_IRNT_DBP",6.97673,1,"ENSG00000164867","dbp"
"ENSG00000164949_IRNT_SBP",8.21212,0,"ENSG00000164949","sbp"
"ENSG00000165029_IRNT_LDL",9.48174,1,"ENSG00000165029","ldl"
"ENSG00000165424_IRNT_height",7.10163,0,"ENSG00000165424","height"
"ENSG00000165806_Cataract",18.5389,0,"ENSG00000165806","Cataract"
"ENSG00000166033_IRNT_height",18.8888,0,"ENSG00000166033","height"
"ENSG00000166035_IRNT_TG",22.9678,0,"ENSG00000166035","tg"
"ENSG00000166509_IRNT_height",21.6887,0,"ENSG00000166509","height"
"ENSG00000166526_IRNT_RBC",11.5975,0,"ENSG00000166526","rbc"
"ENSG00000166603_IRNT_BMI",27.0711,1,"ENSG00000166603","BMI"
"ENSG00000166801_IRNT_height",10.8938,0,"ENSG00000166801","height"
"ENSG00000166925_IRNT_RBC",14.2185,0,"ENSG00000166925","rbc"
"ENSG00000167104_IRNT_height",7.58935,0,"ENSG00000167104","height"
"ENSG00000167123_IRNT_height",7.99379,0,"ENSG00000167123","height"
"ENSG00000167165_IRNT_biliru",60.4243,0,"ENSG00000167165","dbilirubin"
"ENSG00000167333_IRNT_height",8.27488,0,"ENSG00000167333","height"
"ENSG00000167395_IRNT_height",10.2831,0,"ENSG00000167395","height"
"ENSG00000167395_IRNT_SBP",10.0977,0,"ENSG00000167395","sbp"
"ENSG00000167601_IRNT_TG",13.7363,0,"ENSG00000167601","tg"
"ENSG00000167772_IRNT_TG",32.8247,0,"ENSG00000167772","tg"
"ENSG00000167930_IRNT_glu",8.70862,0,"ENSG00000167930","glucose"
"ENSG00000168056_IRNT_height",13.8534,1,"ENSG00000168056","height"
"ENSG00000168140_IRNT_height",7.2638,0,"ENSG00000168140","height"
"ENSG00000168140_ZBMD",14.8649,0,"ENSG00000168140","ebmd"
"ENSG00000168477_IRNT_height",12.5848,0,"ENSG00000168477","height"
"ENSG00000168477_IRNT_LDL",9.99269,0,"ENSG00000168477","ldl"
"ENSG00000168496_IRNT_height",8.01085,0,"ENSG00000168496","height"
"ENSG00000168763_IRNT_height",12.0429,0,"ENSG00000168763","height"
"ENSG00000169031_IRNT_RBC",6.97874,0,"ENSG00000169031","rbc"
"ENSG00000169047_IRNT_height",11.4477,0,"ENSG00000169047","height"
"ENSG00000169174_Hypercholesterolemia",12.6597,1,"ENSG00000169174","Disorders of lipoid metabolism"
"ENSG00000169174_IRNT_biliru",9.86021,0,"ENSG00000169174","dbilirubin"
"ENSG00000169174_IRNT_LDL",242.791,1,"ENSG00000169174","ldl"
"ENSG00000169231_IRNT_height",14.0076,0,"ENSG00000169231","height"
"ENSG00000169418_IRNT_SBP",9.12091,0,"ENSG00000169418","sbp"
"ENSG00000170374_ZBMD",7.4644,1,"ENSG00000170374","ebmd"
"ENSG00000170779_IRNT_height",8.56636,0,"ENSG00000170779","height"
"ENSG00000171105_IRNT_TG",12.2184,0,"ENSG00000171105","tg"
"ENSG00000171174_IRNT_TG",9.74683,0,"ENSG00000171174","tg"
"ENSG00000171234_IRNT_LDL",9.05781,0,"ENSG00000171234","ldl"
"ENSG00000171564_IRNT_LDL",10.1626,0,"ENSG00000171564","ldl"
"ENSG00000171564_IRNT_TG",11.075,0,"ENSG00000171564","tg"
"ENSG00000171812_IRNT_height",9.51764,0,"ENSG00000171812","height"
"ENSG00000172661_IRNT_RBC",7.66173,0,"ENSG00000172661","rbc"
"ENSG00000173250_IRNT_BMI",8.36292,0,"ENSG00000173250","BMI"
"ENSG00000173250_IRNT_WHR",7.81182,0,"ENSG00000173250","WHR"
"ENSG00000173889_IRNT_height",7.49463,0,"ENSG00000173889","height"
"ENSG00000174032_IRNT_TG",9.30602,0,"ENSG00000174032","tg"
"ENSG00000174177_IRNT_height",10.3563,0,"ENSG00000174177","height"
"ENSG00000174358_IRNT_RBC",8.30802,0,"ENSG00000174358","rbc"
"ENSG00000174576_IRNT_height",18.4852,0,"ENSG00000174576","height"
"ENSG00000174807_IRNT_height",9.9044,0,"ENSG00000174807","height"
"ENSG00000175318_IRNT_height",30.6687,0,"ENSG00000175318","height"
"ENSG00000175445_IRNT_TG",47.1222,1,"ENSG00000175445","tg"
"ENSG00000175634_IRNT_height",7.17712,0,"ENSG00000175634","height"
"ENSG00000176387_IRNT_height",11.2419,0,"ENSG00000176387","height"
"ENSG00000176907_IRNT_RBC",9.48613,0,"ENSG00000176907","rbc"
"ENSG00000176971_IRNT_height",16.0163,0,"ENSG00000176971","height"
"ENSG00000177191_IRNT_height",9.16208,0,"ENSG00000177191","height"
"ENSG00000177706_ZBMD",7.40553,0,"ENSG00000177706","ebmd"
"ENSG00000178175_IRNT_height",10.5308,0,"ENSG00000178175","height"
"ENSG00000178252_IRNT_height",19.6042,0,"ENSG00000178252","height"
"ENSG00000178691_IRNT_height",9.86497,0,"ENSG00000178691","height"
"ENSG00000178997_IRNT_height",14.5747,0,"ENSG00000178997","height"
"ENSG00000179295_IRNT_height",10.5207,1,"ENSG00000179295","height"
"ENSG00000180061_IRNT_height",13.5165,0,"ENSG00000180061","height"
"ENSG00000180875_ZBMD",12.4608,0,"ENSG00000180875","ebmd"
"ENSG00000181378_IRNT_TG",10.0324,0,"ENSG00000181378","tg"
"ENSG00000181754_IRNT_LDL",8.75251,0,"ENSG00000181754","ldl"
"ENSG00000182179_IRNT_height",10.6477,0,"ENSG00000182179","height"
"ENSG00000182218_IRNT_height",8.4427,0,"ENSG00000182218","height"
"ENSG00000182511_hypertension",8.16204,0,"ENSG00000182511","Hypertension"
"ENSG00000182511_IRNT_DBP",11.6254,0,"ENSG00000182511","dbp"
"ENSG00000182511_IRNT_SBP",9.7923,0,"ENSG00000182511","sbp"
"ENSG00000182985_ZBMD",14.0898,0,"ENSG00000182985","ebmd"
"ENSG00000183765_Breast_cancer",30.0204,1,"ENSG00000183765","Breast cancer"
"ENSG00000183765_Cancer_of_prostate",16.6179,1,"ENSG00000183765","Cancer of prostate"
"ENSG00000183765_IRNT_RBC",10.1797,0,"ENSG00000183765","rbc"
"ENSG00000185038_IRNT_biliru",77.6464,0,"ENSG00000185038","dbilirubin"
"ENSG00000185920_IRNT_height",9.31423,0,"ENSG00000185920","height"
"ENSG00000186951_IRNT_height",7.0791,0,"ENSG00000186951","height"
